listno,email_num,sent_id,text
007-7484738,1,1.1,"The IETF meetings tend to become too large, creating logistics and planning problems."
007-7484738,1,1.2,"I suggest that future meetings are held for two weeks, with applications and user services issues the first week, and all other issues the second week."
007-7484738,1,1.3,"Those who so wish could attend both weeks, and other people could attend only one week."
007-7484738,1,1.4,Those who choose to attend both weeks would be able to cover more groups and do better liaisons between the different areas.
007-7484738,1,1.5,"The Friday of the first week could discuss applications issues which might be of special interest to the other areas, and the Monday of the second week would schedule other groups which might be of special interest to applications people, so some people could attend Monday-Monday or Friday-Friday."
007-7484738,1,1.6,------------------------------------------------------------------------
007-7484738,1,1.7,Jacob Palme &lt;jpalme@dsv.su.se&gt; (Stockholm University and KTH)
007-7484738,1,1.8,for more info see URL: http://www.dsv.su.se/~jpalme
007-7484738,2,2.1,"> The IETF meetings tend to become too large, creating logistics and planning problems. ..."
007-7484738,2,2.2,"My problem over the past year or so is that there are only a few session I wish to attend, but I cannot know for sure when they will be scheduled, so I cannot make reasonable travel arrangements (a week in Orlando for 6 hours of meetings is hard to sell to management)."
007-7484738,2,2.3,"Now I know there is a rationale here, and that one is encouraged to participate broadly."
007-7484738,2,2.4,And I am hopeful that new activities (my own and in the IETF) will give me many more reasons to attend.
007-7484738,2,2.5,But firmer scheduling would be a big win.
007-7484738,2,2.6,"regards, Terry"
007-7484738,2,2.7,Terry Allen Electronic Commerce and Publishing Consultant
007-7484738,2,2.8,tallen[at]sonic.net
007-7484738,2,2.9,http://www.sonic.net/~tallen/
007-7484738,2,2.10,DocBook: http://www.ora.com/davenport/index.html
007-7484738,2,2.11,Common Business Library: http://www.veosystems.com/
007-7484738,3,3.1,"Terry,"
007-7484738,3,3.2,"WG Chairs already are asked to specify which clashes they want to avoid, but clash avoidance is an iterative problem."
007-7484738,3,3.3,I just don't see how late changes can be completely avoided.
007-7484738,3,3.4,"Obviously, everybody knows they need to be minimised."
007-7484738,3,3.5,"Jacob,"
007-7484738,3,3.6,No way.
007-7484738,3,3.7,"Taking one week out of our calendars 3 times a year is already very painful, and a lot of people really do need and want to track multiple areas of the IETF."
007-7484738,3,3.8,Spreading it thinner would be awful.
007-7484738,3,3.9,Brian
007-7484738,4,4.1,"Working groups don't seem to decide at the last minute whether or not they need a meeting, or what their conflict avoidance criteria needs to be."
007-7484738,4,4.2,This leads me to believe that we could create the IETF schedule earlier without causing significant pain.
007-7484738,4,4.3,"For example, it would be very useful so that the final WG schedule was available more than 21 days in advance, in order to get advanced purchase tickets."
007-7484738,4,4.4,"This would mean that the apps area schedule should be set tentatively 30-35 days in advance, so that the draft IETF schedule could be published and conflicts reviewed."
007-7484738,4,4.5,Larry
007-7484738,5,5.1,"> For example, it would be very useful so that the final WG schedule was available more than 21 days in advance, in order to get advanced purchase tickets."
007-7484738,5,5.2,"> This would mean that the apps area schedule should be set tentatively 30-35 days in advance, so that the draft IETF schedule could be published and conflicts reviewed."
007-7484738,5,5.3,I'd like to second this notion.
007-7484738,5,5.4,Many folks in smaller companies are under severe budget constraints and have difficulty justifying participation in IETF meetings.
007-7484738,5,5.5,"The advance notice helps reduce travel costs, which in turn helps more people attend."
007-7484738,5,5.6,It would make my life easier.
007-7484738,5,5.7,Richard Shockey
007-7484738,5,5.8,Shockey Consulting LLC
007-7484738,5,5.9,8045 Big Bend Blvd. Suite 110
007-7484738,5,5.10,"St. Louis, MO 63119"
007-7484738,5,5.11,Voice 314.918.9020
007-7484738,5,5.12,Fax 314.918.9015
007-7484738,5,5.13,INTERNET Mail &amp; IFAX : rshockey@ix.netcom.com
015-2625401,1,1.1,"hi all,"
